Date of Incident,City,Select State,Hazard Description,Inspection Number,Federal or State Plan,Citation Issued Related to Fatality
9/14/2017,Franklin Park,IL,Worker electrocuted after contacting overhead power line.,1264129,Federal,Yes
9/14/2017,Camden,NJ,Worker died after being struck by steel pile.,1264189,Federal,Yes
9/14/2017,Sublette,KS,Worker fatally engulfed in grain bin.,1264084,Federal,Yes
9/14/2017,Slippery Rock,PA,Worker died in fall from ladder.,1265319,Federal,No
9/13/2017,Fontana,CA,Worker died after being struck by wheel loader.,1263555,State,No
9/13/2017,Knoxville,TN,Worker removing street light electrocuted when pole contacted power line.,1263792,State Plan,Yes
9/13/2017,Troy,MI,Worker died after being struck by gas powered cut-off saw.,1263875,State Plan,No
9/13/2017,Safford,AL,Worker died in fall from shed roof.,1264429,Federal,Yes
9/12/2017,St Thomas,VI,Worker electrocuted when lift bucket contacted energized line.,1263223,State,Yes
9/12/2017,Meadville,MS,Worker died after being struck by falling tree.,1263527,Federal,Yes
9/12/2017,Fairview,PA,Worker fatally crushed under industrial roller.,1263294,Federal,No
9/12/2017,North Platte,NE,Worker died after becoming caught in conveyor belt.,1263661,Federal,Yes
9/12/2017,Watson,MN,Worker died after being struck by train.,1264045,State Plan,Yes
9/12/2017,Nashville,TN,Worker died after being struck by vehicle.,1262957,State Plan,Yes
9/11/2017,Jasper,IN,Worker died when aerial lift tipped over.,1265267,State,Yes
9/11/2017,McComb,MS,Worker died after being struck by backhoe loader.,1262898,Federal,No
9/11/2017,Vineyard,UT,Worker died in fall from balcony.,1263240,State Plan,Yes
9/10/2017,Cullman,AL,Worker died after being struck by truck.,1263019,Federal,No
9/10/2017,Newbury,VT,Worker died after being struck by truck.,1262845,State,Yes
9/10/2017,Ephrata,PA,Worker preparing to tow car died after being struck by passing vehicle.,1276181,Federal,No
9/9/2017,Richmond,MO,Worker fatally crushed by lawn mower.,1262982,Federal,No
9/9/2017,Melrose Park,IL,Worker died after being struck by SUV.,1263300,Federal,Yes
9/8/2017,Baton Rouge,LA,Worker died after being struck by truck boom.,1263305,Federal,No
9/8/2017,Toyah,TX,Worker died after being struck by equipment.,1263184,Federal,Yes
9/8/2017,Henderson,TX,Worker died after being struck by tractor trailer.,1263895,Federal,Yes
9/7/2017,Naples,FL,Worker died in fall from truss.,1264831,Federal,Yes
9/7/2017,Houston,TX,Worker drowned in flooded basement.,1262566,Federal,Yes
9/7/2017,Duluth,GA,Worker fatally crushed between conveyor and hopper wall.,1261644,Federal,Yes
9/7/2017,Odessa,TX,Worker died in fall from manlift basket.,1262740,Federal,Yes
9/7/2017,Beaumont,TX,Worker died after being struck by pipes that fell off trailer.,1262552,Federal,No
9/6/2017,Atlanta,GA,Worker electrocuted while replacing evaporator motor.,1264509,Federal,No
9/6/2017,Hamilton,TX,Worker was electrocuted while performing recloser maintenance.,1261667,Federal,Yes
9/6/2017,New Pine Creek,OR,Worker died when truck flipped over.,1261840,State Plan,No
9/6/2017,Crowley,LA,Worker fatally engulfed in rice bin.,1266726,Federal,Yes
9/6/2017,Chesterfield,MO,Worker electrocuted when aluminum pole contacted overhead power line.,1263640,Federal,Yes
9/6/2017,Chicago,IL,Worker died in fall from roof.,1261787,Federal,Yes
9/5/2017,Victoria,TX,Worker electrocuted after contacting power lines.,1262651,Federal,Yes
9/5/2017,Lovelady,TX,Worker died in gas fire.,1264824,Federal,No
9/5/2017,Long Beach,CA,Worker fatally crushed between two trucks.,1261698,State,No
9/5/2017,Sheboygan,WI,Worker died in fall from roof.,1261446,Federal,Yes
9/4/2017,El Dorado,KS,Worker died in chemical fire.,1261126,Federal,Yes
9/2/2017,Georgetown,TX,Worker died after being struck by motor grader.,1261135,Federal,Yes
9/1/2017,Carlsbad,NM,Three workers died in crude oil metal tank explosion.,1261139,State,Yes
9/1/2017,Chatsworth,GA,Worker fatally crushed between machine rollers.,1263259,Federal,Yes
9/1/2017,Saint Maries,ID,Worker died after being struck by falling tree.,1263227,Federal,Yes
9/1/2017,Laurel,MD,Worker died in fall from roof.,1260885,State,Yes
9/1/2017,Garland,TX,Worker died in fall from catwalk.,1261417,Federal,No
9/1/2017,Columbus,IN,Worker fatally crushed by barrel of degreaser machine.,1260775,State Plan,Yes
9/1/2017,Lebanon,TN,Worker fatally crushed between truck and trailer.,1261280,State Plan,Yes
9/1/2017,Casselton,ND,Worker died after being struck by load that fell from semi trailer.,1264301,Federal,Yes
8/31/2017,Calabasas,CA,Worker died when boom basket rolled over on its side.,1260694,State,Yes
8/31/2017,Midland,TX,Worker died after being struck by falling object.,1260816,Federal,Yes
8/30/2017,Kenmore,NY,Worker electrocuted when installing electrical equipment.,1260145,Federal,No
8/30/2017,Chesapeake,VA,Worker died in fall from ladder.,1260949,State,No
8/30/2017,Shippingport,PA,Worker died from exposure to hydrogen sulfide gas.,1259741,Federal,Yes
8/30/2017,Houston,TX,Worker died in fall from scaffold.,1261393,Federal,No
8/28/2017,Stanton,TX,Worker died after being struck by spreader beam.,1260896,Federal,Yes
8/28/2017,Ingalls,KS,Worker died after being struck by loader.,1259572,Federal,Yes
8/28/2017,Conneaut,OH,Worker died in fall from tank wall.,1253630,Federal,Yes
8/27/2017,Thomson,GA,Worker fatally crushed between tram car and treatment cylinder.,1259221,Federal,Yes
8/27/2017,Jesup,GA,Worker died in fall from manlift.,1260534,Federal,No
8/25/2017,Pompano Beach,FL,Worker fatally crushed by collapsed wall.,1259967,Federal,Yes
8/25/2017,Georgetown,KY,Worker died in fall from porch overhang.,1259525,State,Yes
8/25/2017,Fort Worth,TX,Worker fatally crushed by ceiling truss.,1258739,Federal,Yes
8/25/2017,Fort Wayne,IN,Worker repairing garbage truck fatally crushed beneath axel.,1260356,State Plan,Yes
8/24/2017,Troy,VA,Worker died in fall from roof.,1258078,State,Yes
8/24/2017,Washington,DC,Worker died in fall from building.,1258842,Federal,Yes
8/24/2017,Snyder,TX,Worker electrocuted while repairing components.,1258743,Federal,Yes
8/24/2017,Charlotte,NC,Worker electrocuted while repairing leaking valve.,1259076,State,Yes
8/24/2017,Nazareth,PA,Worker died after being struck by framing shelf.,1258209,Federal,Yes
8/24/2017,Pleasanton,CA,Worker electrocuted after contacting exposed insulation wiring.,1258337,State,No
8/24/2017,Gill,CO,Worker drowned in overturned forklift.,1258704,Federal,Yes
8/24/2017,Sierra City,CA,Worker drowned after swimming into lake to retrieve drifting boat.,1259273,State Plan,Yes
8/24/2017,Tulia,TX,Worker fatally crushed by lawn mower.,1264253,Federal,Yes
8/23/2017,West Haven,CT,Worker died after being struck by vehicle.,1257698,Federal,Yes
8/23/2017,Palm Harbor,FL,Driver fatally crushed by tractor.,1257464,Federal,Yes
8/23/2017,Houston,TX,Worker died after being struck by forklift.,1257897,Federal,Yes
8/23/2017,Natchez,MS,Worker died from heat illness during sandblasting operations.,1264945,Federal,No
8/22/2017,Sarasota,FL,Worker died from heat stroke while moving furniture.,1261761,Federal,Yes
8/22/2017,Springfield,VA,Worker died in vehicle collision.,1258378,State,Yes
8/22/2017,Sacramento,CA,Worker trimming tree electrocuted when chain saw contacted power line.,1257581,State,No
8/22/2017,Dubuque,IA,Worker fatally crushed between powered lawn mower and AC unit.,1269365,State,Yes
8/22/2017,Turlock,CA,Worker died in fall inside grain silo.,1257224,State,Yes
8/22/2017,Sixes,OR,Worker died in fall down bank during drilling and blasting work. (Related inspection: 1259542),1261186,State,No
8/22/2017,Sixes,OR,Worker died in fall down bank during drilling and blasting work.,1259542,State,No
8/22/2017,Franklin,OH,Worker died after being struck by tooling machine that fell from forklift.,1257171,Federal,Yes
8/22/2017,Nashville,TN,Worker died in fall from stairs.,1257579,State Plan,Yes
8/21/2017,Naples,FL,Worker died in fall from roof.,1256970,Federal,Yes
8/21/2017,Colleyville,TX,Worker died after falling and striking head.,1257853,Federal,No
8/20/2017,Rankin,TX,Worker died after being struck by load that fell from crane.,1257245,Federal,Yes
8/20/2017,Glen Alpine,NC,Worker died in fall from tractor trailer.,1259077,State Plan,No
8/19/2017,Beverly,OH,Worker died from heat stroke.,1257079,Federal,No
8/19/2017,Richmond,TX,Worker died after being struck by ceiling joist and falling from scaffold.,1263806,Federal,Yes
8/18/2017,New York,NY,Worker died in fall down elevator shaft.,1256503,Federal,Yes
8/18/2017,Nesmith,SC,Worker died after being engulfed in hot oil from ruptured tank.,1259921,State,Yes
8/18/2017,New Orleans,LA,Worker died after being struck by forklift that fell from crane.,1256654,Federal,Yes
8/18/2017,Encino,TX,Worker died after being struck by plug ejected from oil and gas line.,1257351,Federal,Yes
8/18/2017,Vienna,VA,Worker died in fall from ladder.,1255437,State,No
8/18/2017,Wichita,KS,Worker died in ceiling collapse during building demolition.,1256268,Federal,Yes
8/18/2017,Clovis,CA,Worker fatally crushed when pickup truck and trailer rolled over.,1256535,State Plan,No
8/17/2017,Apopka,FL,Worker died after being struck by hook being used to pull truck stuck in mud.,1257275,Federal,No
8/17/2017,Montgomery,TX,Worker died after being struck by falling beam.,1256068,Federal,Yes
8/16/2017,Brooklyn,NY,Worker died in fall from roof.,1255550,Federal,Yes
8/16/2017,Helena,AL,Worker fatally crushed by roll machine.,1256264,Federal,Yes
8/15/2017,Palm Beach,FL,Worker electrocuted from contact with overhead power line.,1255027,Federal,No
8/15/2017,Davenport,IA,Worker died from heat exposure.,1255157,Federal,No
8/15/2017,Houston,TX,Worker died in fall through skylight.,1255026,Federal,Yes
8/15/2017,Superior,WI,Worker died in fall down elevator shaft.,1256384,Federal,Yes
8/15/2017,Roscoe,IL,Worker killed in explosion.,1255853,Federal,No
8/14/2017,Medford,NY,Worker died after being struck by truck.,1259341,Federal,No
8/14/2017,Chesapeake,VA,Worker died in fall from catwalk.,1255076,State,No
8/14/2017,Galveston,TX,Worker electrocuted from contact with live wire.,1261057,Federal,No
8/14/2017,San Antonio,TX,Worker died after being struck by front-end loader.,1254678,Federal,No
8/14/2017,Lafayette,CA,Worker fatally crushed between parts of forklift.,1254824,State,No
8/14/2017,Wallisville,TX,Worker fatally crushed when portable house sild off flatbed.,1254752,Federal,No
8/14/2017,Declo,ID,Worker died after being struck by skid steer.,1255323,Federal,Yes
8/14/2017,Chicago,IL,Worker died in fall down air shaft.,1256392,Federal,No
8/12/2017,Douglasville,GA,Worker electrocuted from contact with live wire.,1257647,Federal,Yes
8/12/2017,Kissimmee,FL,Worker died in fall from roof.,1254297,Federal,No
8/12/2017,Salisbury,MD,Worker died in fall from ladder.,1254729,State Plan,No
8/11/2017,Raleigh,NC,Worker died after being struck by falling granite slab.,1254596,State,Yes
8/11/2017,Granville,OH,Worker flagging traffic died after being struck by motor vehicle.,1254366,Federal,Yes
8/11/2017,Troy,IL,Worker installing air conditioner electrocuted by vacuum pump.,1254375,Federal,Yes
8/11/2017,Saint Albans,VT,Worker died after being struck by vehicle.,1254515,State Plan,No
8/10/2017,Scio,OR,Worker died in vehicle collision.,1254633,State,No
8/10/2017,Austell,GA,Worker fatally crushed between two trucks.,1254327,Federal,No
8/10/2017,Beaufort,SC,Worker died in fall from roof.,1254609,State,Yes
8/10/2017,Amagansett,NY,Worker died in fall from delivery truck.,1266088,Federal,No
8/10/2017,Trafford,PA,Worker fatally crushed when counterweight broke away from excavator.,1253686,Federal,Yes
8/10/2017,Coventry,RI,Worker died from multiple bee stings.,1256181,Federal,No
8/9/2017,Bronx,NY,Worker fatally crushed under van.,1254388,Federal,No
8/9/2017,Fresno,CA,Worker died in fall from roof.,1253573,State,No
8/9/2017,Maumee,OH,Worker died after being engulfed in cement powder.,1253870,Federal,Yes
8/9/2017,Fairmont,NC,Worker electrocuted from arc flash.,1254949,State,Yes
8/9/2017,Palm Harbor,FL,Worker fatally crushed by bucket truck,1255043,Federal,Yes
8/9/2017,Norcross,GA,Worker died in fall from storage rack.,1252686,Federal,No
8/9/2017,Plymouth,MA,Worker died In fall from ladder.,1256518,Federal,Yes
8/9/2017,Oklahoma City,OK,Worker died after being struck by scalding water from high-pressure hose.,1264251,Federal,No
8/9/2017,Milton Freewater,OR,Worker died from injuries sustained while riding combine.,1262759,State Plan,No
8/9/2017,Austin,TX,Worker fatally crushed by concrete.,1253723,Federal,No
8/8/2017,Miami,FL,Worker died after being struck by gate.,1252971,Federal,No
8/8/2017,Clanton,AL,Worker died after being struck by machine that suddenly turned on.,1253411,Federal,Yes
8/8/2017,Forney,TX,Two workers in roadside construction zone died after being struck by passing motorist.,1253728,Federal,Yes
8/8/2017,Verbank,NY,Worker died after being struck by falling tree.,1253628,Federal,No
8/7/2017,Athens,GA,Worker died when forklift tipped over.,1253945,Federal,No
8/7/2017,New York,NY,Worker washing windows died in fall.,1252903,Federal,No
8/7/2017,Waterloo,IA,Worker fatally engulfed in soy bean bin.,1253154,State Plan,Yes
8/7/2017,Austin,TX,Worker died in fall from ladder.,1253682,Federal,No
8/5/2017,Hartford,MI,Worker died after being struck by tractor.,1283853,State,No
8/5/2017,Webster,NH,Worker died after being stuck by soil compactor.,1253250,Federal,No
8/5/2017,Clare,MI,Worker on top of grain bin electrocuted after contacting power line.,1253731,State Plan,No
8/4/2017,Adair Village,OR,Worker died when truck overturned.,1253108,State,No
8/4/2017,City Of Industry,CA,Worker fatally crushed by food bags.,1253054,State,No
8/3/2017,Vivian,LA,Worker died in fall from roof.,1253039,Federal,Yes
8/3/2017,Haviland,OH,Worker died after being struck by door of recycling washing machine.,1252279,Federal,Yes
8/3/2017,Ely,MN,Worker died in fall from roof.,1251346,State,No
8/3/2017,Poughkeepsie,NY,Worker fatally crushed by collapsed retaining wall and soil.,1252272,Federal,No
8/3/2017,College Park,MD,Worker died in fall from building under construction.,1252174,State Plan,No
8/3/2017,Morristown,TN,Worker died when ATV overturned.,1253259,State Plan,No
8/3/2017,Carrollton,TX,Worker died in fall from roof.,1254100,Federal,Yes
8/3/2017,Moscow,ID,Worker died when roller compactor tipped over.,1252997,Federal,Yes
8/2/2017,Cahokia,IL,Worker using winch to pull barge died after being struck when cable snapped.,1252112,Federal,Yes
8/2/2017,Randallstown,MD,Worker electrocuted while troubleshooting AC unit.,1251919,State,No
8/2/2017,Buford,GA,Worker fatally crushed by road compactor.,1251820,Federal,Yes
8/2/2017,Minneapolis,MN,Two workers died and nine hospitalized after natural gas explosion.,1252390,State Plan,No
8/2/2017,Dallas,TX,Worker died after being struck by landscaping log.,1253363,Federal,Yes
8/2/2017,House Springs,MO,Worker died while trying to unclog wood chipper.,1251947,Federal,Yes
8/2/2017,Medford,MA,Worker fatally crushed by concrete wall.,1251853,Federal,Yes
8/2/2017,Missoula,MT,Worker died after being struck by falling tree.,1252554,Federal,No
8/2/2017,Lewisburg,TN,Worker died after falling and striking head on floor.,1252847,State Plan,Yes
8/1/2017,Holland,MI,Worker demolishing building died when section of floor collapsed.,1251762,State Plan,No
8/1/2017,Kalamazoo,MI,Worker died after being struck by metal retaining rim when tire exploded.,1251516,State Plan,No
8/1/2017,Columbia,MD,Worker died after being thrown from vehicle.,1254335,State Plan,No
8/1/2017,Cottonwood,AZ,Worker died in fall from refrigeration trailer.,1252521,State Plan,No
7/31/2017,Dover,DE,Worker died in fall from rafters.,1250925,Federal,Yes
7/31/2017,Minnesota City,MN,Worker fatally crushed betwee truck box and frame rail.,1251356,State,Yes
7/31/2017,Lawton,OK,Worker on roof electrocuted after contacting overhead power lines.,1251246,Federal,Yes
7/31/2017,Henrietta,NY,Worker died from injury suffered while painting exterior wall.,1252618,Federal,No
7/31/2017,Laurelville,OH,Worker fatally crushed by tree stump.,1251829,Federal,Yes
7/31/2017,Fargo,ND,Worker died after being struck by motor vehicle.,1250977,Federal,Yes
7/30/2017,Thomasville,AL,Worker electrocuted by energized wires.,1250794,Federal,Yes
7/29/2017,Caledonia,MI,Worker fatally engulfed in corn dust bin.,1251280,State Plan,No
7/29/2017,Milton Freewater,OR,Worker died after being struck by tractor towing a baler.,1251052,State Plan,No
7/28/2017,Williston,ND,Worker died after being struck by water truck.,1252327,Federal,Yes
7/28/2017,Colleyville,TX,Worker fatally crushed when excavator knocked over box culvert.,1250811,Federal,Yes
7/28/2017,Plymouth,MI,Worker died in fall from roof.,1250788,State Plan,No
7/27/2017,Emlenton,PA,Worker electrocuted when ladder contacted overhead power lines.,1260027,Federal,Yes
7/27/2017,Farmington,MN,Worker died after being struck by pipe ejected from tapering machine.,1250663,State Plan,No
7/27/2017,Mount Meigs,AL,Worker fatally crushed between aerial lift and beam.,1256463,Federal,Yes
7/26/2017,Siloam Springs,AR,Worker electrocuted while plugging in fan.,1250550,Federal,Yes
7/26/2017,Jamaica,NY,Worker died after being struck by cement truck.,1251503,Federal,No
7/26/2017,Fenton,MI,Worker died in Fall from roof.,1250577,State Plan,No
7/25/2017,Phillipsburg,NJ,Worker fatally crushed by printing machine.,1249487,Federal,Yes
7/25/2017,Mason,OH,Worker died from injuries sustained in fall from ladder.,1250090,Federal,Yes
7/24/2017,Sunrise,FL,Worker fatally crushed when van being serviced slipped off jack.,1249602,Federal,Yes
7/24/2017,Commerce,TX,Worker fatally crushed when granite slab fell from crane.,1249576,Federal,Yes
7/24/2017,Millinocket,ME,Worker died in vehicle collision.,1250079,Federal,No
7/23/2017,Elmhurst,IL,Worker died after being struck by sheets of glass that fell from forklift.,1249044,Federal,Yes
7/22/2017,Islamorada,FL,Worker electrocuted while changing lightbulb.,1248947,Federal,Yes
7/22/2017,Avon,OH,Worker installing satellite dish died in fall from roof.,1249268,Federal,No
7/22/2017,Nashville,TN,Worker killed in fall from roof.,1249029,State Plan,Yes
7/21/2017,Woodburn,OR,Worker died in vehicle collision.,1249880,State,No
7/21/2017,Willmar,MN,Worker fatally crushed when stack of trusses tipped over.,1249532,State Plan,Yes
7/21/2017,Sioux City,IA,Worker fatally crushed between truck and steel rack.,1249598,State Plan,Yes
7/20/2017,Alpharetta,GA,Worker died after falling and striking head.,1250113,Federal,No
7/20/2017,Traverse City,MI,Worker drowned while trying to assist coworker in lake.,1249341,State Plan,No
7/20/2017,Houston,TX,Worker died in fall from scaffold.,1248932,Federal,Yes
7/20/2017,New Carrollton,MD,Worker drowned in pool.,1249237,State Plan,No
7/20/2017,Selma,AL,Worker died in fall from ladder.,1249354,Federal,No
7/19/2017,Villanova,PA,Worker died in fall from ladder.,1248512,Federal,Yes
7/19/2017,Lebanon,VA,Worker fatally crushed when truck being serviced slipped off jack.,1248232,State,Yes
7/19/2017,Romulus,MI,Worker electrocuted when lift bucket contacted power line.,1248330,State Plan,No
7/19/2017,Seeley Lake,MT,Worker died after being struck by falling tree top.,1248761,Federal,No
7/19/2017,Dyersburg,TN,Worker died after being struck by tractor trailer.,1252846,State Plan,No
7/18/2017,New York,NY,Worker electrocuted after contacting electical conduit.,1250326,Federal,No
7/18/2017,Phoenix,AZ,Worker died when forklift overturned.,1247809,State,Yes
7/18/2017,Butler,PA,Worker died after being struck by truck moving in reverse.,1247534,Federal,No
7/18/2017,Tulsa,OK,Worker fatally crushed when section of wind tower tipped over.,1251239,Federal,No
7/18/2017,Lake Charles,LA,Worker installing duct work in attic died from heat stress.,1248555,Federal,Yes
7/18/2017,Houston,TX,Worker electrocuted when ladder contacted power line.,1248614,Federal,Yes
7/18/2017,Knoxville,TN,Worker died from allergic reaction to wasp sting.,1250148,State Plan,No
7/18/2017,Weston,OH,Worker died after being struck by falling truss.,1247784,Federal,No
7/17/2017,Waverly,VA,Worker died after falling from and being struck by truck.,1248339,State,No
7/17/2017,Streator,IL,Worker electrocuted after contacting power distribution line.,1248634,Federal,Yes
7/15/2017,Orange,VA,Worker electrocuted while preforming rewiring.,1248158,State,Yes
7/15/2017,Mount Joy,PA,Worker fatally crushed by conveyor belt.,1247764,Federal,Yes
7/15/2017,Stoystown,PA,Worker fatally crushed by trailer ramp.,1247851,Federal,Yes
7/15/2017,New Canton,IL,Worker died when log skidder rolled down embankment.,1248245,Federal,Yes
7/14/2017,Platteville,CO,Worker fatally engulfed when corn silage pile collapsed.,1248283,Federal,No
7/14/2017,South Cloverdale,VA,Worker died after falling on concrete floor.,1247833,State Plan,No
7/14/2017,Wilton,CT,Worker died in fall from mobile scaffold.,1247440,Federal,Yes
7/13/2017,Pennsville,NJ,One worker was electrocuted and another injured when hoist contacted overhead power lines.,1246656,Federal,No
7/13/2017,Rocky Face,GA,Worker flagging traffic died after being struck by backhoe.,1247020,Federal,Yes
7/13/2017,Harleton,TX,Worker fatally struck by chip spreader in highway work zone.,1247097,Federal,Yes
7/13/2017,Nederland,TX,Worker fatally crushed when skylift bucket tipped over.,1247263,Federal,No
7/13/2017,Cairo,WV,Worker died after being struck by falling tree.,1279258,Federal,Yes
7/12/2017,Hillsboro,OR,Worker was fatally crushed by Kardex Remstar Machine.,1285664,State,No
7/12/2017,Brooklyn,NY,Worker installing cinder block died head trauma.,1248336,Federal,No
7/12/2017,Tillamook,OR,Worker died in fall when cable holding logs broke.,1272119,State,No
7/12/2017,Woburn,MA,Worker fatally crushed by rock while excavating stone foundation.,1246819,Federal,Yes
7/12/2017,Loomis,CA,Worker died in fall from scaffold.,1247243,State Plan,No
7/12/2017,City of Industry,CA,Worker died after being struck by pickup truck.,1249459,State Plan,No
7/12/2017,Hillsboro,OR,Worker fatally crushed inside vertical lift machine.,1285663,State Plan,No
7/12/2017,Senoia,GA,Worker died in fall from elevated platform.,1247500,Federal,Yes
7/12/2017,Arlington Heights,IL,Worker electrocuted by hand power saw.,1245706,Federal,Yes
7/12/2017,Topeka,KS,Worker washing windows electrocuted when extension pole contacted power line.,1247098,Federal,Yes
7/12/2017,Oxon Hill,MD,Worker died in trench collapse.,1246289,State Plan,Yes
7/11/2017,Charleston,WV,Worker delivering mail died from heat-related illness.,1246012,Federal,No
7/11/2017,Downey,CA,Worker fatally injured after tripping over pallet jack.,1247605,State Plan,No
7/10/2017,Philadelphia,PA,Worker fatally crushed by falling shipping containers.,1245517,Federal,Yes
7/10/2017,Newville,PA,Two workers died when tractor tire exploded during inflation.,1246022,Federal,Yes
7/10/2017,Austin,TX,Worker died in fall from back of moving truck.,1243786,Federal,Yes
7/9/2017,Philadelphia,NY,Worker fatally shot while responding to police call.,1245755,State,Yes
7/8/2017,Kermit,TX,Worker died from heat exhaustion.,1245413,Federal,Yes
7/8/2017,San Diego,CA,Worker died in fall while trimming trees.,1245479,State Plan,No
7/7/2017,Ontario,CA,Worker mowing lawn died from heat illness.,1246124,State,No
7/7/2017,Wolfforth,TX,Worker died after becoming caught in rotors of asphalt laying machine.,1246372,Federal,No
7/7/2017,Saipan,MP,Three workers asphyxiated from exposure to hydrogen sulfide gas in confined space.,1246546,Federal,Yes
7/7/2017,Norman,OK,Worker died from heat-related illness.,1254765,Federal,Yes
7/6/2017,Danville,VA,Worker electrocuted while repairing power line.,1244757,State Plan,No
7/6/2017,Brownsville,WI,Worker fatally crushed by pipe.,1245041,Federal,Yes
7/6/2017,Richland Hills,TX,Worker died in fall from porch.,1245978,Federal,No
7/5/2017,Lakeside,CA,Worker died after being struck by chainsaw.,1246087,State,No
7/5/2017,Atlanta,GA,Worker died after being struck by hoist counter weights.,1245350,Federal,Yes
7/5/2017,Richmond,IN,Worker drowned in pump area of waste water treatment plant.,1269203,State Plan,Yes
7/5/2017,Clarkesville,GA,Worker killed in fall from roof.,1244825,Federal,No
7/5/2017,Livonia,MI,Worker electrocuted when wrench contacted energized part.,1244940,State Plan,No
7/5/2017,Nixon,TX,Worker died from exposure to chlorine.,1244440,Federal,No
7/4/2017,Caguas,PR,Worker on elevated scaffold platform fatally crushed against wall.,1245373,State Plan,Yes
7/3/2017,Thermal,CA,Worker died from multiple bee stings.,1245472,State,No
7/3/2017,Eagle Rock,VA,Worker died from exposure to agricultural herbicides and pesticides.,1244752,State Plan,Yes
7/3/2017,Lenoir,NC,Worker died after being struck by falling tree.,1245608,State Plan,Yes
7/1/2017,Corpus Christi,TX,Worker loading barricade materials died from heat stoke.,1244295,Federal,Yes
6/30/2017,Hilbert,WI,Worker riding pony died in fall.,1245893,Federal,Yes
6/30/2017,Prosper,TX,Worker died from heat stroke.,1277443,Federal,Yes
6/30/2017,Dunedin,FL,Worker died in fall from roof.,1245708,Federal,No
6/30/2017,San Leandro,CA,Worker fatally crushed by falling conveyor assembly.,1244230,State Plan,No
6/29/2017,Pembroke Pines,FL,Worker electrocuted by lightning strike.,1243441,Federal,No
6/29/2017,Apollo Beach,FL,Two workers died after being engulfed by molten slag.,1244609,Federal,No
6/29/2017,Apollo Beach,FL,Two workers died after being engulfed by molten slag.,1245410,Federal,Yes
6/29/2017,Apollo Beach,FL,Worker died after being engulfed by molten slag.,1245514,Federal,No
6/29/2017,Leesville,TX,Worker fatally crushed between dumpster and truck.,1245523,Federal,Yes
6/29/2017,Midland,TX,Worker died in pump explosion.,1243688,Federal,No
6/29/2017,Odessa,TX,Worker died in vehicle collision.,1244922,Federal,No
6/28/2017,Dallas,TX,Worker electrocuted while installing duct work on HVAC system.,1246498,Federal,Yes
6/28/2017,Nashville,TN,Worker died in fall from roof.,1246671,State Plan,Yes
6/28/2017,Miami,FL,Worker electrocuted when pole saw contacted overhead power line.,1243900,Federal,Yes
6/27/2017,North Palm Beach,FL,Worker cleaning bottom of boat died after being struck by propeller.,1243628,Federal,Yes
6/27/2017,Dallas,TX,Worker died in fall from upper floor of residence under construction.,1243864,Federal,Yes
6/27/2017,Corsicana,TX,Worker died after being struck by pump jack.,1244803,Federal,Yes
6/27/2017,Chicago,IL,Worker died in fall from roof.,1243039,Federal,No
6/27/2017,Niles,MI,Worker died after being struck by tractor trailer.,1243279,State Plan,No
6/26/2017,Fort Worth,TX,Worker electrocuted while troubleshooting fountain pump.,1242734,Federal,Yes
6/24/2017,Porterville,CA,Worker died fom heat illness while herding livestock.,1248867,State,Yes
6/23/2017,Owego,NY,Worker died after being struck by articulated loader.,1242445,Federal,Yes
6/23/2017,Broomfield,CO,Worker died after being struck by piece of metal ejected from mechanical press.,1244799,Federal,Yes
6/23/2017,Happy Valley,OR,Worker died after being struck by dump truck rolling down hill.,1242842,State Plan,No
6/23/2017,Lafayette,LA,Worker electrocuted while installing heating system.,1271033,Federal,Yes
6/23/2017,Denver,CO,Worker fixing air conditioning unit died in fall from ladder after receiving electric shock.,1242610,Federal,Yes
6/23/2017,Huntington Park,CA,Worker stripping paint died from exposure to methylene chloride.,1242614,State Plan,No
6/22/2017,Greenfield,WI,Worker died when lawn mower exploded during refueling.,1242055,Federal,Yes
6/22/2017,Modesto,CA,Worker died from injuries after tripping on wire and falling.,1248650,State Plan,Yes
6/22/2017,Waverly,TN,Worker fatally crushed by machine.,1242294,State Plan,Yes
6/21/2017,Bryn Mawr,PA,Worker electrocuted while servicing power line.,1243552,Federal,No
6/21/2017,Auburndale,FL,Worker electrocuted while servicing conveyor belt.,1241786,Federal,No
6/21/2017,Roseville,CA,Worker died from heat-related illness.,1241944,State Plan,No
6/21/2017,Dallas,TX,Worker died in fall from truck.,1250502,Federal,No
6/21/2017,Colorado Springs,CO,Worker died in fall from roof.,1245536,Federal,Yes
6/21/2017,Birch River,WY,Worker died after being struck by falling tree limb.,1242027,Federal,Yes
6/21/2017,Madison,LA,Worker died in fall from box elevated by forklift.,1241993,State Plan,Yes
6/21/2017,Colorado Springs,CO,Worker died in fall from roof.,1244398,Federal,No
6/21/2017,Decatur,IN,One worker drowned and another hospitalized after being overcome by gasses in pit.,1248824,State Plan,Yes
6/20/2017,Philippi,WV,Worker died in gas tank explosion.,1241247,Federal,Yes
6/20/2017,Linthicum Heights,MD,Worker died when forklift tipped over.,1241493,State Plan,No
6/20/2017,Greenville,OH,Worker fatally crushed between semi-truck and stationary trailer.,1241474,Federal,No
6/19/2017,Morgan,GA,Worker died after falling on and being impaled by tool.,1244321,Federal,Yes
6/19/2017,Salt Flat,TX,Worker died after being struck by tractor.,1241675,Federal,Yes
